
Bathroom, Shower, 09/27/2022 08:00:00, 0 gallons total, production
Bathroom, Shower, 09/27/2022 08:00:30, 1.25 gallons total, production
Bathroom, Shower, 09/27/2022 08:01:00, 2.5 gallons total, production
Bathroom, Shower, 09/27/2022 08:01:30, 3.75 gallons total, production
Bathroom, Shower, 09/27/2022 08:02:00, 5.0 gallons total, production
Bathroom, Shower, 09/27/2022 08:02:30, 6.25 gallons total, production
Bathroom, Shower, 09/27/2022 08:03:00, 7.5 gallons total, production
Bathroom, Shower, 09/27/2022 08:03:30, 8.75 gallons total, production
Bathroom, Shower, 09/27/2022 08:04:00, 10.0 gallons total, production
Bathroom, Shower, 09/27/2022 08:04:30, 11.25 gallons total, production
Bathroom, Shower, 09/27/2022 08:05:00, 12.5 gallons total, production
Bathroom, Shower, 09/27/2022 08:05:30, 13.75 gallons total, production
Bathroom, Shower, 09/27/2022 08:06:00, 15.0 gallons total, production
Bathroom, Shower, 09/27/2022 08:06:30, 16.25 gallons total, production
Bathroom, Shower, 09/27/2022 08:07:00, 17.5 gallons total, production
Bathroom, Shower, 09/27/2022 08:07:30, 18.75 gallons total, production
Bathroom, Shower, 09/27/2022 08:08:00, 20.0 gallons total, production
Bathroom, Shower, 09/27/2022 08:08:30, 21.25 gallons total, production
Bathroom, Shower, 09/27/2022 08:09:00, 22.5 gallons total, production
Bathroom, Shower, 09/27/2022 08:09:30, 23.75 gallons total, production
Bathroom, Shower, 09/27/2022 08:10:00, 25.0 gallons total, production

Bathroom, Bath, 09/27/2022 09:00:00, 25.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:00:30, 26.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:01:00, 27.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:01:30, 28.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:02:00, 30.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:02:30, 31.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:03:00, 32.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:03:30, 33.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:04:00, 35.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:04:30, 36.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:05:00, 37.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:05:30, 38.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:06:00, 40.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:06:30, 41.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:07:00, 42.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:07:30, 43.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:08:00, 45.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:08:30, 46.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:09:00, 47.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:09:30, 48.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:10:00, 50.0 gallons total, production
Bathroom, Bath, 09/27/2022 09:10:30, 51.25 gallons total, production
Bathroom, Bath, 09/27/2022 09:11:00, 52.5 gallons total, production
Bathroom, Bath, 09/27/2022 09:11:30, 53.75 gallons total, production
Bathroom, Bath, 09/27/2022 09:12:00, 55.0 gallons total, production

Bathroom, Shower, 09/27/2022 10:00:00, 55.0 gallons total, production
Bathroom, Shower, 09/27/2022 10:00:30, 56.25 gallons total, production
Bathroom, Shower, 09/27/2022 10:01:00, 57.5 gallons total, production
Bathroom, Shower, 09/27/2022 10:01:30, 58.75 gallons total, production
Bathroom, Shower, 09/27/2022 10:02:00, 60.0 gallons total, production
Bathroom, Shower, 09/27/2022 10:02:30, 61.25 gallons total, production
Bathroom, Shower, 09/27/2022 10:03:00, 62.5 gallons total, production
Bathroom, Shower, 09/27/2022 10:03:30, 63.75 gallons total, production
Bathroom, Shower, 09/27/2022 10:04:00, 65.0 gallons total, production
Bathroom, Shower, 09/27/2022 10:04:30, 66.25 gallons total, production
Bathroom, Shower, 09/27/2022 10:05:00, 67.5 gallons total, production
Bathroom, Shower, 09/27/2022 10:05:30, 68.75 gallons total, production
Bathroom, Shower, 09/27/2022 10:06:00, 70.0 gallons total, production
Bathroom, Shower, 09/27/2022 10:06:30, 71.25 gallons total, production
Bathroom, Shower, 09/27/2022 10:07:00, 72.5 gallons total, production
Bathroom, Shower, 09/27/2022 10:07:30, 73.75 gallons total, production
Bathroom, Shower, 09/27/2022 10:08:00, 75.0 gallons total, production
Bathroom, Shower, 09/27/2022 10:08:30, 76.25 gallons total, production
Bathroom, Shower, 09/27/2022 10:09:00, 77.5 gallons total, production
Bathroom, Shower, 09/27/2022 10:09:30, 78.75 gallons total, production
